epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1612.95,1.20291,2.73653,1.18962,0.41131,0.22317,0.20445,0.14392,1.23181,3.04526,1.1872,0.000132843,0.000132843,0.000132843
2,3340.81,1.23113,2.17489,1.18284,0.44205,0.23137,0.20915,0.14893,1.23767,2.92167,1.18606,0.000257393,0.000257393,0.000257393
3,6750.26,1.24295,2.05422,1.17929,0.37697,0.24171,0.21885,0.15135,1.26892,2.81488,1.20643,0.000373142,0.000373142,0.000373142
4,7653.33,1.26278,1.98803,1.18556,0.33657,0.23312,0.21149,0.1392,1.30358,2.74559,1.20969,0.0003604,0.0003604,0.0003604
5,8566.02,1.2676,1.86959,1.18185,0.41477,0.2485,0.23963,0.16403,1.24258,2.67527,1.19094,0.0003472,0.0003472,0.0003472
6,9533.59,1.23743,1.79673,1.16445,0.38864,0.24047,0.21716,0.14722,1.28576,2.72967,1.19782,0.000334,0.000334,0.000334
7,10507.2,1.21712,1.70078,1.16373,0.42164,0.24973,0.23741,0.1647,1.2551,2.5874,1.19791,0.0003208,0.0003208,0.0003208
8,11445.8,1.2279,1.64569,1.16278,0.38794,0.28504,0.27145,0.19037,1.24813,2.51088,1.19698,0.0003076,0.0003076,0.0003076
9,12372,1.19682,1.5665,1.14224,0.47569,0.27768,0.28687,0.20264,1.23287,2.4379,1.18218,0.0002944,0.0002944,0.0002944
10,13294.7,1.20461,1.52498,1.13549,0.47798,0.26114,0.29391,0.20063,1.26578,2.40032,1.18715,0.0002812,0.0002812,0.0002812
11,14214,1.18398,1.4767,1.13074,0.48269,0.28755,0.30612,0.21873,1.21452,2.32977,1.16715,0.000268,0.000268,0.000268
12,15144,1.17157,1.42641,1.1227,0.47271,0.31547,0.31281,0.21487,1.24857,2.36365,1.18753,0.0002548,0.0002548,0.0002548
13,16111,1.17,1.39538,1.11539,0.53629,0.27515,0.30989,0.21476,1.25157,2.39086,1.17509,0.0002416,0.0002416,0.0002416
14,17071.5,1.15029,1.34024,1.10869,0.42837,0.32555,0.3262,0.23495,1.21561,2.31921,1.16681,0.0002284,0.0002284,0.0002284
15,18037.1,1.14255,1.30877,1.10623,0.43854,0.3133,0.31075,0.21416,1.22976,2.30588,1.16721,0.0002152,0.0002152,0.0002152
16,19000.3,1.13103,1.26637,1.09676,0.48687,0.31799,0.3236,0.22735,1.23853,2.2928,1.16263,0.000202,0.000202,0.000202
17,19963.2,1.12336,1.25292,1.0917,0.5468,0.31347,0.3369,0.23274,1.20876,2.24402,1.14667,0.0001888,0.0001888,0.0001888
18,20922.9,1.12978,1.21351,1.09065,0.50673,0.31924,0.33535,0.23515,1.19924,2.2451,1.1471,0.0001756,0.0001756,0.0001756
19,21884.5,1.0998,1.18077,1.08205,0.49445,0.33895,0.34749,0.24267,1.23199,2.23977,1.15047,0.0001624,0.0001624,0.0001624
20,22847.2,1.08931,1.15324,1.07762,0.58926,0.32978,0.35568,0.25045,1.19618,2.1885,1.14566,0.0001492,0.0001492,0.0001492
21,23791.9,1.03216,1.04502,1.03755,0.56218,0.34641,0.3646,0.25636,1.19732,2.24259,1.14452,0.000136,0.000136,0.000136
22,24736.3,1.01473,0.98394,1.02508,0.56633,0.3466,0.3664,0.26225,1.19596,2.23257,1.1366,0.0001228,0.0001228,0.0001228
23,25686.4,1.00479,0.95032,1.01261,0.5598,0.35509,0.37538,0.26903,1.18502,2.20115,1.13406,0.0001096,0.0001096,0.0001096
24,26636,0.9967,0.92265,1.01058,0.64983,0.32503,0.37924,0.26663,1.19902,2.17968,1.13725,9.64e-05,9.64e-05,9.64e-05
25,27595.1,0.97491,0.89562,1.00365,0.60164,0.34105,0.37643,0.27119,1.17819,2.20637,1.13157,8.32e-05,8.32e-05,8.32e-05
26,28547.3,0.96646,0.87657,0.99671,0.58784,0.34823,0.38044,0.274,1.1871,2.20354,1.13494,7e-05,7e-05,7e-05
27,29496.5,0.96565,0.85868,0.99201,0.55184,0.36888,0.38289,0.2786,1.17474,2.17216,1.13521,5.68e-05,5.68e-05,5.68e-05
28,30461.1,0.95038,0.83321,0.99153,0.65746,0.33745,0.38614,0.27818,1.18466,2.176,1.13695,4.36e-05,4.36e-05,4.36e-05
29,31361.5,0.94183,0.81888,0.98229,0.63005,0.34727,0.39088,0.28065,1.1786,2.1698,1.13354,3.04e-05,3.04e-05,3.04e-05
30,32263.2,0.94042,0.80597,0.98418,0.61616,0.35416,0.38995,0.2821,1.17397,2.15427,1.13169,1.72e-05,1.72e-05,1.72e-05
